Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Tuesday,,,,,,"BIC21003:  S3 A
(I-hanani) [I-MKP-ARAS",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,,"BIC21003:  S3 K
(I-hanani) [I-BT4]",,,,"BIC21003:  S7 K
(I-hanifah) [I-PERP-BT8-",,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,63,,,,,78,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,"BIC21003:  S1 A
(I-faradila) [I-MFD-ARA",,,,"BIC21003:  S2 A
(I-faradila) [I-MFD-ARA",,,,,,"BIC21003:  S5 A
(I-yusliza) [I-MKP-ARA",,,,,,"BIC21003:  S7 A
(I-hanifah) [I-MGA-ARA",,,,"BIC21003:  S8 A
(I-hanifah)
[I-MGA-ARAS 0]",,,,,,REHAT,,,,
,,,,102,,,,,116,,,,,,,122,,,,126,,,,,,,,,,,,
Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
"Footnote: Sections in Merge Slots
35 -  BIC21003 (I-hanani) <FSKTM-2BIP> S3 : A, BIC21003 (I-hanani) <FSKTM-3BIP> S3 : A
63 -  BIC21003 (I-hanani) <FSKTM-2BIP> S3 : K, BIC21003 (I-hanani) <FSKTM-3BIP> S3 : K, BIC21003 (I-faradila) <FSKTM-1BIS INTAKE II> S2 : K, BIC21003 (I-faradila) <FSKTM-1BIS> S1 : K, BIC21003 (I- faradila) <FSKTM-1BIS> S2 : K, BIC21003 (I-faradila) <FSKTM-2BIS> S1 : K, BIC21003 (I-faradila) <FSKTM-3BIS> S1 : K, BIC21003 (I-yusliza) <FSKTM-1BIW> S5 : K, BIC21003 (I-yusliza) <FSKTM- 1BIW> S6 : K, BIC21003 (I-yusliza) <FSKTM-2BIW> S5 : K
78 -  BIC21003 (I-hanifah) <FSKTM-1BIM> S7 : K, BIC21003 (I-hanifah) <FSKTM-1BIM> S8 : K
102 -  BIC21003 (I-faradila) <FSKTM-1BIS> S1 : A, BIC21003 (I-faradila) <FSKTM-2BIS> S1 : A, BIC21003 (I-faradila) <FSKTM-3BIS> S1 : A
116 -  BIC21003 (I-faradila) <FSKTM-1BIS INTAKE II> S2 : A, BIC21003 (I-faradila) <FSKTM-1BIS> S2 : A
122 -  BIC21003 (I-yusliza) <FSKTM-1BIW> S5 : A, BIC21003 (I-yusliza) <FSKTM-2BIW> S5 : A
126 -  BIC21003 (I-hanifah) <FSKTM-1BIM> S7 : A, BIC21003 (I-yusliza) <FSKTM-1BIW> S6 : A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
